Limit 1 b KM,Limit 1 b KMD,Limit 1 b distances,,Limit 1 y KM,Limit 1 y KMD,Limit 1 y distances,,Limit 2 b KM,Limit 2 b KMD,Limit 2 b distances,,Limit 2 y KM,Limit 2 y KMD,Limit 2 y distances
1338.0264,-0.0264,0.0273,,1295.2046,-0.2046,0.0047,,1296.0647,-0.0647,0.0161,,1071.1233,-0.1233,0.0569
1330.0914,-0.0914,0.0381,,1292.2403,-0.2403,0.0311,,1301.0569,-0.0569,0.0077,,1067.1649,-0.1649,0.0152
1334.1048,-0.1048,0.0509,,1296.2343,-0.2343,0.0246,,1312.9668,0.0332,0.0832,,1072.1376,-0.1376,0.0429
1340.0793,-0.0793,0.0248,,1302.2043,-0.2043,0.0059,,1304.0929,-0.0929,0.043,,1073.1493,-0.1493,0.0314
1344.0777,-0.0777,0.0227,,1312.22,-0.22,0.0084,,1309.0969,-0.0969,0.0463,,1062.2477,-0.2477,0.0676
1356.0297,-0.0297,0.0264,,1313.2461,-0.2461,0.0342,,1314.0619,-0.0619,0.0111,,1077.1458,-0.1458,0.0354
1354.0749,-0.0749,0.0187,,1316.224,-0.224,0.0119,,1316.0489,-0.0489,0.0022,,1082.1286,-0.1286,0.0531
1365.0082,-0.0082,0.0489,,1320.2172,-0.2172,0.0046,,1327.0204,-0.0204,0.0318,,1078.2053,-0.2053,0.0235
1357.0866,-0.0866,0.0299,,1320.2203,-0.2203,0.0077,,1318.0913,-0.0913,0.0396,,1080.2219,-0.2219,0.0397
1356.1069,-0.1069,0.0501,,1322.2094,-0.2094,0.0034,,1326.0792,-0.0792,0.0266,,1107.1868,-0.1868,0.0015
1359.0893,-0.0893,0.0323,,1328.1823,-0.1823,0.031,,1332.0372,-0.0372,0.0158,,1116.1273,-0.1273,0.0587
1372.0113,-0.0113,0.0467,,1329.1815,-0.1815,0.032,,1338.0239,-0.0239,0.0298,,1119.111,-0.111,0.0752
1374.041,-0.041,0.0176,,1326.2299,-0.2299,0.0165,,1338.0264,-0.0264,0.0273,,1102.2463,-0.2463,0.0611
1367.1107,-0.1107,0.0524,,1338.2244,-0.2244,0.0095,,1330.0914,-0.0914,0.0381,,1114.1994,-0.1994,0.0131
1369.0942,-0.0942,0.0358,,1337.2348,-0.2348,0.0199,,1334.1048,-0.1048,0.0509,,1122.1696,-0.1696,0.0175
1372.0753,-0.0753,0.0167,,1343.1991,-0.1991,0.0163,,1340.0793,-0.0793,0.0248,,1115.2538,-0.2538,0.0669
1378.0478,-0.0478,0.0114,,1348.2052,-0.2052,0.0109,,1344.0777,-0.0777,0.0227,,1134.1441,-0.1441,0.0443
1375.0958,-0.0958,0.0366,,1354.1999,-0.1999,0.0168,,1356.0297,-0.0297,0.0264,,1143.1725,-0.1725,0.0173
1382.0469,-0.0469,0.0128,,1362.2313,-0.2313,0.0133,,1354.0749,-0.0749,0.0187,,1145.1783,-0.1783,0.0117
1385.0484,-0.0484,0.0117,,1366.21,-0.21,0.0084,,1365.0082,-0.0082,0.0489,,1142.2091,-0.2091,0.0192
1387.0979,-0.0979,0.0371,,1365.2249,-0.2249,0.0065,,1357.0866,-0.0866,0.0299,,1137.2599,-0.2599,0.0702
1385.1174,-0.1174,0.0567,,1372.1896,-0.1896,0.0294,,1356.1069,-0.1069,0.0501,,1151.2133,-0.2133,0.0221
1390.0835,-0.0835,0.0224,,1373.221,-0.221,0.0016,,1359.0893,-0.0893,0.0323,,1164.1474,-0.1474,0.0449
1397.0785,-0.0785,0.0166,,1387.1875,-0.1875,0.0334,,1372.0113,-0.0113,0.0467,,1158.2072,-0.2072,0.0152
1395.1006,-0.1006,0.0387,,1383.2338,-0.2338,0.0131,,1361.1379,-0.1379,0.0802,,1162.2021,-0.2021,0.0096
1393.1214,-0.1214,0.0597,,1382.2459,-0.2459,0.0252,,1374.041,-0.041,0.0176,,1162.2047,-0.2047,0.0123
1411.037,-0.037,0.0264,,1389.2194,-0.2194,0.002,,1367.1107,-0.1107,0.0524,,1163.2043,-0.2043,0.0118
1408.0899,-0.0899,0.0264,,1388.2298,-0.2298,0.0084,,1369.0942,-0.0942,0.0358,,1172.2324,-0.2324,0.0384
1409.0841,-0.0841,0.0206,,1398.1924,-0.1924,0.0299,,1372.0753,-0.0753,0.0167,,1181.1849,-0.1849,0.0098
1416.0708,-0.0708,0.0065,,1405.1956,-0.1956,0.0276,,1378.0478,-0.0478,0.0114,,1173.2551,-0.2551,0.0608
1413.0977,-0.0977,0.0336,,1403.2157,-0.2157,0.0074,,1371.1213,-0.1213,0.0624,,1180.2093,-0.2093,0.0145
1415.0823,-0.0823,0.018,,1401.2358,-0.2358,0.0128,,1375.0958,-0.0958,0.0366,,1190.1906,-0.1906,0.0053
1414.0958,-0.0958,0.0315,,1407.2318,-0.2318,0.0081,,1382.0469,-0.0469,0.0128,,1192.2092,-0.2092,0.0129
1417.0845,-0.0845,0.0199,,1408.2299,-0.2299,0.006,,1373.1344,-0.1344,0.0751,,1195.2365,-0.2365,0.0396
1428.0445,-0.0445,0.0212,,1411.2193,-0.2193,0.0049,,1385.0484,-0.0484,0.0117,,1197.224,-0.224,0.027
1424.0864,-0.0864,0.0209,,1413.2093,-0.2093,0.015,,1399.9871,0.0129,0.0744,,1198.2162,-0.2162,0.0191
1426.0747,-0.0747,0.009,,1430.1928,-0.1928,0.0336,,1387.0979,-0.0979,0.0371,,1204.2057,-0.2057,0.0079
1429.0632,-0.0632,0.0027,,1429.2193,-0.2193,0.0071,,1385.1174,-0.1174,0.0567,,1208.1954,-0.1954,0.0028
1433.0356,-0.0356,0.0306,,1431.2339,-0.2339,0.0071,,1390.0835,-0.0835,0.0224,,1216.2027,-0.2027,0.0034
1431.0967,-0.0967,0.0302,,1447.2351,-0.2351,0.0063,,1397.0785,-0.0785,0.0166,,1220.1894,-0.1894,0.0102
1440.0703,-0.0703,0.0028,,1445.2556,-0.2556,0.0269,,1395.1006,-0.1006,0.0387,,1225.1715,-0.1715,0.0287
1442.0786,-0.0786,0.0108,,1449.2289,-0.2289,0.0002,,1390.1422,-0.1422,0.0807,,1226.1987,-0.1987,0.0019
1441.0892,-0.0892,0.0214,,1463.2261,-0.2261,0.0047,,1393.1214,-0.1214,0.0597,,1225.2152,-0.2152,0.0147
1439.1192,-0.1192,0.0515,,1467.2354,-0.2354,0.004,,1411.037,-0.037,0.0264,,1229.2054,-0.2054,0.0045
1444.11,-0.11,0.0417,,1467.2376,-0.2376,0.0062,,1403.1268,-0.1268,0.0637,,1233.2149,-0.2149,0.0134
1449.1007,-0.1007,0.0318,,1473.2411,-0.2411,0.0089,,1408.0899,-0.0899,0.0264,,1233.2183,-0.2183,0.0167
1451.0893,-0.0893,0.0202,,1486.2231,-0.2231,0.0105,,1409.0841,-0.0841,0.0206,,1234.2135,-0.2135,0.0118
